county_fips,block_group,CVAP_estimate,CVAP_margin_of_error,reg_count,state_reg_count,percent,adj_CVAP_estimate,reg_potential,percent_reg
04013,040133198006,565,191,642,646,0.9938080495356038,561.5015479876162,-80.49845201238384,1.143362831858407
04013,040134223013,800,281,874,876,0.997716894977169,798.1735159817351,-75.82648401826486,1.095
04013,040133194032,810,174,876,876,1.0,810.0,-66.0,1.0814814814814815
04013,040134220022,385,155,388,390,0.9948717948717949,383.02564102564105,-4.97435897435895,1.0129870129870129
04013,040132177001,2100,341,1,1417,0.0007057163020465773,1.4820042342978124,0.48200423429781236,0.6747619047619047
04013,040132168163,1745,466,1,970,0.0010309278350515464,1.7989690721649485,0.7989690721649485,0.5558739255014327
04013,040130101021,945,386,2,539,0.0037105751391465678,3.5064935064935066,1.5064935064935066,0.5703703703703704
04013,040131162051,735,142,7,578,0.012110726643598616,8.901384083044983,1.9013840830449826,0.7863945578231293
04013,040133198003,360,163,354,357,0.9915966386554622,356.9747899159664,2.9747899159664257,0.9916666666666666
04013,040131162053,1370,279,2,521,0.003838771593090211,5.259117082533589,3.2591170825335887,0.38029197080291977
04013,040133192013,390,224,379,379,1.0,390.0,11.0,0.9717948717948718
04013,040131162023,420,168,399,400,0.9975,418.95000000000005,19.950000000000045,0.9523809523809523
04013,040134222032,520,190,176,451,0.3902439024390244,202.9268292682927,26.926829268292693,0.8673076923076922
04013,040134221022,830,243,799,801,0.9975031210986267,827.9275905118602,28.927590511860217,0.9650602409638553
04013,040134216022,430,184,383,383,1.0,430.0,47.0,0.8906976744186047
04013,040133189004,825,308,759,769,0.9869960988296489,814.2717815344604,55.27178153446039,0.932121212121212
04013,040131162024,535,201,474,476,0.9957983193277311,532.7521008403362,58.7521008403362,0.8897196261682242
04013,040134213024,330,194,242,244,0.9918032786885246,327.2950819672131,85.2950819672131,0.7393939393939395
04013,040134215012,485,111,396,397,0.9974811083123426,483.77833753148616,87.77833753148616,0.8185567010309278
04013,040134218023,500,129,408,408,1.0,500.0,92.0,0.816
