LD,CVAP_estimate,reg_count,reg_potential,percent_reg
026,152105,82407,69698,0.541777061898031
016,180570,112277,68293,0.6217921027856234
008,154105,89050,65055,0.5778527627267123
005,175075,113108,61967,0.6460545480508354
003,145110,86784,58326,0.5980566466818276
020,166305,108300,58005,0.6512131324975197
021,167760,110050,57710,0.6559966618979495
024,152160,94842,57318,0.6233044164037855
025,171175,114183,56992,0.6670541843142982
006,174330,123162,51168,0.7064876957494407
010,162330,112149,50181,0.6908704490851968
009,161040,112043,48997,0.6957463984103328
019,125560,78683,46877,0.6266565785281937
013,161080,114419,46661,0.7103240625776012
023,183790,138569,45221,0.7539528810054954
029,117615,72405,45210,0.6156102537941589
022,178815,135164,43651,0.7558873696278277
014,156850,113407,43443,0.7230283710551483
030,113970,70538,43432,0.618917258927788
028,160545,117208,43337,0.7300632221495531
018,170005,126942,43063,0.746695685421017
001,177575,136297,41278,0.7675461072786147
027,126500,85557,40943,0.6763399209486166
011,165255,124675,40580,0.7544401077123234
002,133670,94035,39635,0.7034861973516869
004,128470,88877,39593,0.6918113178173892
015,163830,124987,38843,0.7629066715497772
017,156055,124220,31835,0.7960014097593797
012,166315,141573,24742,0.8512341039593543
007,142200,125201,16999,0.8804571026722925
